Instance,n,Algorithm,Solution Size,Time (s),Valid,Optimal,Optimal Found
medium_n25_04,25,Genetic Algorithm,6,0.16872518799937097,True,8,False
medium_n25_05,25,Genetic Algorithm,6,0.17477495899947826,True,7,False
medium_n25_06,25,Genetic Algorithm,7,0.1619314640010998,True,8,False
medium_n25_07,25,Genetic Algorithm,8,0.17642693000016152,True,8,True
medium_n25_08,25,Genetic Algorithm,7,0.1673587410004984,True,8,False
medium_n25_09,25,Genetic Algorithm,6,0.16672871399896394,True,8,False
medium_n25_10,25,Genetic Algorithm,7,0.17213734799952363,True,8,False
medium_n30_01,30,Genetic Algorithm,7,0.1781658800009609,True,10,False
medium_n30_02,30,Genetic Algorithm,7,0.175375755999994,True,9,False
medium_n30_03,30,Genetic Algorithm,7,0.19557609199910075,True,9,False
medium_n30_04,30,Genetic Algorithm,7,0.18639935899955162,True,9,False
medium_n30_05,30,Genetic Algorithm,7,0.1865752319990861,True,10,False
medium_n30_06,30,Genetic Algorithm,6,0.18067196599986346,True,8,False
medium_n30_07,30,Genetic Algorithm,9,0.18181600700154377,True,10,False
medium_n30_08,30,Genetic Algorithm,6,0.18357868500061159,True,9,False
medium_n30_09,30,Genetic Algorithm,6,0.18306643399955647,True,9,False
medium_n30_10,30,Genetic Algorithm,7,0.17806691199984925,True,9,False
medium_n40_01,40,Genetic Algorithm,6,0.21194616399952793,True,10,False
medium_n40_02,40,Genetic Algorithm,7,0.21274483399974997,True,10,False
medium_n40_03,40,Genetic Algorithm,5,0.21055268800046179,True,10,False
medium_n40_04,40,Genetic Algorithm,6,0.21125323900014337,True,10,False
medium_n40_05,40,Genetic Algorithm,9,0.22218024900030287,True,12,False
medium_n40_06,40,Genetic Algorithm,7,0.23514751299990166,True,10,False
medium_n40_07,40,Genetic Algorithm,7,0.21252856200044334,True,10,False
medium_n40_08,40,Genetic Algorithm,6,0.2248238259999198,True,11,False
medium_n40_09,40,Genetic Algorithm,7,0.20422841999970842,True,10,False
medium_n40_10,40,Genetic Algorithm,7,0.21123143200020422,True,10,False
medium_n50_01,50,Genetic Algorithm,6,0.27304571000058786,True,12,False
medium_n50_02,50,Genetic Algorithm,7,0.2626349769998342,True,12,False
medium_n50_03,50,Genetic Algorithm,7,0.25577851200068835,True,11,False
medium_n50_04,50,Genetic Algorithm,7,0.25890185800017207,True,11,False
medium_n50_05,50,Genetic Algorithm,7,0.24986023300152738,True,11,False
medium_n50_06,50,Genetic Algorithm,7,0.24806009999883827,True,11,False
medium_n50_07,50,Genetic Algorithm,8,0.2472345200003474,True,12,False
medium_n50_08,50,Genetic Algorithm,8,0.25410291499974846,True,12,False
medium_n50_09,50,Genetic Algorithm,7,0.24720413099930738,True,11,False
medium_n50_10,50,Genetic Algorithm,8,0.24899191000076826,True,12,False
medium_n25_01,25,Tabu Search,8,0.004801561999556725,True,8,True
medium_n25_02,25,Tabu Search,9,0.0055671099999017315,True,9,True
medium_n25_03,25,Tabu Search,9,0.004731529999844497,True,9,True
medium_n25_04,25,Tabu Search,8,0.004626134999853093,True,8,True
medium_n25_05,25,Tabu Search,7,0.004615773999830708,True,7,True
medium_n25_06,25,Tabu Search,8,0.0046323019996634685,True,8,True
medium_n25_07,25,Tabu Search,7,0.0043369070008338895,True,8,False
